event_id,eligible_candidate_count,has_recommendation,reference_station_id,label_method
DE000017,2,True,S012,eligible_candidates_documented_baseline_cost_v3
DE000018,1,True,S012,eligible_candidates_documented_baseline_cost_v3
DE000019,0,False,,NO_ELIGIBLE_STATION
DE000020,0,False,,NO_ELIGIBLE_STATION
DE000021,0,False,,NO_ELIGIBLE_STATION
DE000022,0,False,,NO_ELIGIBLE_STATION
DE000023,0,False,,NO_ELIGIBLE_STATION
DE000024,0,False,,NO_ELIGIBLE_STATION
DE000025,20,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000026,20,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000027,20,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000028,20,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000029,20,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000030,19,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000031,19,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000032,19,True,S001,eligible_candidates_documented_baseline_cost_v3
DE000033,5,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000034,5,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000035,3,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000036,3,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000037,2,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000038,2,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000039,1,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000040,1,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000041,6,True,S024,eligible_candidates_documented_baseline_cost_v3
DE000042,5,True,S024,eligible_candidates_documented_baseline_cost_v3
DE000043,3,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000044,2,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000045,2,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000046,1,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000047,1,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000048,0,False,,NO_ELIGIBLE_STATION
DE000049,0,False,,NO_ELIGIBLE_STATION
DE000050,0,False,,NO_ELIGIBLE_STATION
DE000051,0,False,,NO_ELIGIBLE_STATION
DE000052,0,False,,NO_ELIGIBLE_STATION
DE000053,0,False,,NO_ELIGIBLE_STATION
DE000054,0,False,,NO_ELIGIBLE_STATION
DE000055,0,False,,NO_ELIGIBLE_STATION
DE000056,0,False,,NO_ELIGIBLE_STATION
DE000057,20,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000058,20,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000059,20,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000060,20,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000061,20,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000062,20,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000063,19,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000064,19,True,S002,eligible_candidates_documented_baseline_cost_v3
DE000065,5,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000066,5,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000067,5,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000068,4,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000069,3,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000070,3,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000071,3,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000072,2,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000073,0,False,,NO_ELIGIBLE_STATION
DE000074,0,False,,NO_ELIGIBLE_STATION
DE000075,0,False,,NO_ELIGIBLE_STATION
DE000076,0,False,,NO_ELIGIBLE_STATION
DE000077,0,False,,NO_ELIGIBLE_STATION
DE000078,0,False,,NO_ELIGIBLE_STATION
DE000079,0,False,,NO_ELIGIBLE_STATION
DE000080,0,False,,NO_ELIGIBLE_STATION
DE000081,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000082,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000083,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000084,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000085,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000086,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000087,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000088,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000089,0,False,,NO_ELIGIBLE_STATION
DE000090,0,False,,NO_ELIGIBLE_STATION
DE000091,0,False,,NO_ELIGIBLE_STATION
DE000092,0,False,,NO_ELIGIBLE_STATION
DE000093,0,False,,NO_ELIGIBLE_STATION
DE000094,0,False,,NO_ELIGIBLE_STATION
DE000095,0,False,,NO_ELIGIBLE_STATION
DE000096,0,False,,NO_ELIGIBLE_STATION
DE000129,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000130,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000131,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000132,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000133,19,True,S016,eligible_candidates_documented_baseline_cost_v3
DE000134,19,True,S016,eligible_candidates_documented_baseline_cost_v3
DE000135,19,True,S016,eligible_candidates_documented_baseline_cost_v3
DE000136,19,True,S016,eligible_candidates_documented_baseline_cost_v3
DE000137,4,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000138,4,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000139,3,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000140,3,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000141,3,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000142,3,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000143,3,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000144,3,True,S027,eligible_candidates_documented_baseline_cost_v3
DE000145,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000146,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000147,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000148,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000149,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000150,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000151,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000152,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000153,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000154,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000155,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000156,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000157,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000158,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000159,1,True,S010,eligible_candidates_documented_baseline_cost_v3
DE000160,19,True,S029,eligible_candidates_documented_baseline_cost_v3
DE000161,3,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000162,3,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000163,3,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000164,3,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000165,4,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000166,4,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000167,4,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000168,4,True,S030,eligible_candidates_documented_baseline_cost_v3
DE000185,1,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000186,1,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000187,1,True,S003,eligible_candidates_documented_baseline_cost_v3
DE000188,0,False,,NO_ELIGIBLE_STATION
DE000189,0,False,,NO_ELIGIBLE_STATION
DE000190,0,False,,NO_ELIGIBLE_STATION
DE000191,1,True,S024,eligible_candidates_documented_baseline_cost_v3
DE000192,1,True,S024,eligible_candidates_documented_baseline_cost_v3
DE000193,17,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000194,17,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000195,17,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000196,17,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000197,19,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000198,19,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000199,19,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000200,19,True,S019,eligible_candidates_documented_baseline_cost_v3
DE000201,0,False,,NO_ELIGIBLE_STATION
DE000202,0,False,,NO_ELIGIBLE_STATION
DE000203,0,False,,NO_ELIGIBLE_STATION
DE000204,0,False,,NO_ELIGIBLE_STATION
DE000205,0,False,,NO_ELIGIBLE_STATION
DE000206,0,False,,NO_ELIGIBLE_STATION
DE000207,0,False,,NO_ELIGIBLE_STATION
DE000208,0,False,,NO_ELIGIBLE_STATION
DE000209,0,False,,NO_ELIGIBLE_STATION
DE000210,0,False,,NO_ELIGIBLE_STATION
DE000211,0,False,,NO_ELIGIBLE_STATION
DE000212,0,False,,NO_ELIGIBLE_STATION
DE000213,0,False,,NO_ELIGIBLE_STATION
DE000214,0,False,,NO_ELIGIBLE_STATION
DE000215,0,False,,NO_ELIGIBLE_STATION
DE000216,0,False,,NO_ELIGIBLE_STATION
DE000217,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000218,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000219,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000220,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000221,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000222,18,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000223,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000224,19,True,S022,eligible_candidates_documented_baseline_cost_v3
DE000225,18,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000226,18,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000227,18,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000228,18,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000229,18,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000230,18,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000231,19,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000232,19,True,S014,eligible_candidates_documented_baseline_cost_v3
DE000233,2,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000234,2,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000235,2,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000236,2,True,S018,eligible_candidates_documented_baseline_cost_v3
DE000237,1,True,S009,eligible_candidates_documented_baseline_cost_v3
DE000238,1,True,S009,eligible_candidates_documented_baseline_cost_v3
DE000239,1,True,S009,eligible_candidates_documented_baseline_cost_v3
DE000240,1,True,S009,eligible_candidates_documented_baseline_cost_v3
DE000241,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000242,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000243,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000244,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000245,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000246,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000247,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000248,0,False,,NO_ELIGIBLE_STATION
DE000249,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000250,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000251,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000252,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000253,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000254,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000255,20,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000256,19,True,S008,eligible_candidates_documented_baseline_cost_v3
DE000257,2,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000258,2,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000259,1,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000260,1,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000261,1,True,S021,eligible_candidates_documented_baseline_cost_v3
DE000262,0,False,,NO_ELIGIBLE_STATION
DE000263,0,False,,NO_ELIGIBLE_STATION
DE000264,0,False,,NO_ELIGIBLE_STATION
DE000297,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000298,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000299,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000300,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000301,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000302,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000303,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000304,20,True,S007,eligible_candidates_documented_baseline_cost_v3
DE000305,4,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000306,4,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000307,4,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000308,3,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000309,3,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000310,3,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000311,3,True,S006,eligible_candidates_documented_baseline_cost_v3
DE000312,3,True,S006,eligible_candidates_documented_baseline_cost_v3
