event_id,trip_id,split,need_service
DE000001,T0001,train,False
DE000004,T0001,train,False
DE000007,T0001,train,False
DE000010,T0001,train,False
DE000013,T0001,train,False
DE000016,T0001,train,False
DE000019,T0001,train,False
DE000022,T0001,train,False
DE000025,T0002,train,False
DE000028,T0002,train,False
DE000031,T0002,train,False
DE000034,T0002,train,False
DE000037,T0002,train,False
DE000040,T0002,train,False
DE000043,T0002,train,False
DE000046,T0002,train,False
DE000049,T0003,validation,True
DE000053,T0003,validation,True
DE000057,T0003,validation,True
DE000061,T0003,validation,True
DE000065,T0003,validation,True
DE000069,T0003,validation,True
DE000073,T0003,validation,True
DE000077,T0003,validation,True
DE000081,T0004,train,True
DE000084,T0004,train,True
DE000087,T0004,train,True
DE000090,T0004,train,True
DE000093,T0004,train,True
DE000096,T0004,train,True
DE000099,T0004,train,True
DE000102,T0004,train,True
DE000105,T0005,train,True
DE000109,T0005,train,True
DE000113,T0005,train,True
DE000117,T0005,train,True
DE000121,T0005,train,True
DE000125,T0005,train,True
DE000129,T0005,train,True
DE000133,T0005,train,True
DE000137,T0006,train,True
DE000141,T0006,train,True
DE000145,T0006,train,True
DE000149,T0006,train,True
DE000153,T0006,train,True
DE000157,T0006,train,True
DE000161,T0006,train,True
DE000165,T0006,train,True
DE000169,T0007,train,True
DE000172,T0007,train,True
DE000175,T0007,train,True
DE000178,T0007,train,True
DE000181,T0007,train,True
DE000184,T0007,train,True
DE000187,T0007,train,True
DE000190,T0007,train,True
DE000193,T0008,train,True
DE000196,T0008,train,True
DE000199,T0008,train,True
DE000202,T0008,train,True
DE000205,T0008,train,True
DE000208,T0008,train,True
DE000211,T0008,train,True
DE000214,T0008,train,True
DE000217,T0009,train,True
DE000221,T0009,train,True
DE000225,T0009,train,True
DE000229,T0009,train,True
DE000233,T0009,train,True
DE000237,T0009,train,True
DE000241,T0009,train,True
DE000245,T0009,train,True
DE000249,T0010,train,True
DE000252,T0010,train,True
DE000255,T0010,train,True
DE000258,T0010,train,True
DE000261,T0010,train,True
DE000264,T0010,train,True
DE000267,T0010,train,True
DE000270,T0010,train,True
DE000273,T0011,test,True
DE000276,T0011,test,True
DE000279,T0011,test,True
DE000282,T0011,test,True
DE000285,T0011,test,True
DE000288,T0011,test,True
DE000291,T0011,test,True
DE000294,T0011,test,True
DE000297,T0012,train,True
DE000301,T0012,train,True
DE000305,T0012,train,True
DE000309,T0012,train,True
DE000313,T0012,train,True
DE000317,T0012,train,True
DE000321,T0012,train,True
DE000325,T0012,train,True
DE000329,T0013,test,False
DE000332,T0013,test,False
DE000335,T0013,test,False
DE000338,T0013,test,False
DE000341,T0013,test,False
DE000344,T0013,test,False
DE000347,T0013,test,False
DE000350,T0013,test,False
DE000353,T0014,test,False
DE000356,T0014,test,False
DE000359,T0014,test,False
DE000362,T0014,test,False
DE000365,T0014,test,False
DE000368,T0014,test,False
DE000371,T0014,test,False
DE000374,T0014,test,False
DE000377,T0015,train,False
DE000381,T0015,train,False
DE000385,T0015,train,False
DE000389,T0015,train,False
DE000393,T0015,train,False
DE000397,T0015,train,False
DE000401,T0015,train,False
DE000405,T0015,train,False
DE000409,T0016,train,False
DE000412,T0016,train,False
DE000415,T0016,train,False
DE000418,T0016,train,False
DE000421,T0016,train,False
DE000424,T0016,train,False
DE000427,T0016,train,False
DE000430,T0016,train,False
DE000433,T0017,train,True
DE000436,T0017,train,True
DE000439,T0017,train,True
DE000442,T0017,train,True
DE000445,T0017,train,True
DE000448,T0017,train,True
DE000451,T0017,train,True
DE000454,T0017,train,True
DE000457,T0018,train,True
DE000461,T0018,train,True
DE000465,T0018,train,True
DE000469,T0018,train,True
