event_id,trip_id,timestamp,snapshot_index,trip_progress_pct,current_soc_pct,estimated_remaining_range_km,remaining_trip_distance_km,safety_reserve_km,consumption_wh_per_km,minimum_safe_soc_pct,charging_supported,swap_supported,charging_interface_class,battery_type,vehicle_model,vehicle_type,vehicle_id,battery_capacity_kwh,usable_capacity_kwh,public_swap_compatible,split,allowed_service_types,need_service,resolved_service_type
DE000001,T0001,2026-09-01T06:06:40.768790399+07:00,1,8.0,84.944,260.49,3.254,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],False,
DE000002,T0001,2026-09-01T06:06:40.768790399+07:00,1,8.0,84.944,260.49,3.254,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,CHARGING
DE000003,T0001,2026-09-01T06:06:40.768790399+07:00,1,8.0,84.944,260.49,3.254,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,
DE000004,T0001,2026-09-01T06:07:32.140897500+07:00,2,19.76,84.808,260.08,2.839,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],False,
DE000005,T0001,2026-09-01T06:07:32.140897500+07:00,2,19.76,84.808,260.08,2.839,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,CHARGING
DE000006,T0001,2026-09-01T06:07:32.140897500+07:00,2,19.76,84.808,260.08,2.839,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,
DE000007,T0001,2026-09-01T06:08:08.936772+07:00,3,31.07,84.678,259.68,2.438,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],False,
DE000008,T0001,2026-09-01T06:08:08.936772+07:00,3,31.07,84.678,259.68,2.438,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,CHARGING
DE000009,T0001,2026-09-01T06:08:08.936772+07:00,3,31.07,84.678,259.68,2.438,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,
DE000010,T0001,2026-09-01T06:08:44.977027714+07:00,4,42.39,84.547,259.28,2.038,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],False,
DE000011,T0001,2026-09-01T06:08:44.977027714+07:00,4,42.39,84.547,259.28,2.038,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,CHARGING
DE000012,T0001,2026-09-01T06:08:44.977027714+07:00,4,42.39,84.547,259.28,2.038,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,
DE000013,T0001,2026-09-01T06:09:25.374317624+07:00,5,54.31,84.409,258.86,1.616,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],False,
DE000014,T0001,2026-09-01T06:09:25.374317624+07:00,5,54.31,84.409,258.86,1.616,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,CHARGING
DE000015,T0001,2026-09-01T06:09:25.374317624+07:00,5,54.31,84.409,258.86,1.616,1.0,150.0,15.0,True,False,CCS2_TYPE2,FIXED_TRACTION_PACK,VF_3,EV_CAR,V0001,18.64,17.15,False,train,['CHARGING'],True,
