event_id,trip_id,station_id,service_type,split,eligible_candidate_count,ranking_group_size,is_ltr_group,candidate_eligible,driver_to_station_distance_m,driver_to_station_eta_min,station_to_destination_distance_m,station_to_destination_eta_min,direct_driver_to_destination_distance_m,direct_driver_to_destination_eta_min,detour_distance_m,detour_time_min,traffic_delay_factor_driver_leg,traffic_delay_factor_station_leg,traffic_adjusted_eta_min,queue_wait_min,service_time_min,total_eta_min,available_capacity,operating_status,soc_feasible,ranking_cost_label,reference_rank,is_reference_best
DE000049,T0003,S012,BATTERY_SWAP,validation,2,2,True,True,6691.2,8.143,7132.1,8.278,4569.0,12.469,9254.3,3.952,1.314,1.141,20.145,0.0,6.0,26.145,4,OPEN,True,44.2421,1,True
DE000049,T0003,S021,BATTERY_SWAP,validation,2,2,True,True,7274.7,8.46,6845.4,7.803,4569.0,12.469,9551.1,3.793,1.314,1.141,20.019,0.0,6.0,26.019,2,OPEN,True,45.3691,2,False
DE000053,T0003,S012,BATTERY_SWAP,validation,1,1,False,True,6826.6,8.418,7132.1,8.278,3935.0,10.673,10023.7,6.023,1.299,1.141,20.38,0.0,6.0,26.38,3,OPEN,True,46.8831,1,True
DE000081,T0004,S001,CHARGING,train,20,8,True,True,3689.0,5.921,3016.9,5.022,3774.0,8.563,2931.9,2.38,1.076,1.141,12.101,0.0,18.0,30.101,4,OPEN,True,35.1601,1,True
DE000081,T0004,S002,CHARGING,train,20,8,True,True,8931.4,9.159,9976.4,11.021,3774.0,8.563,15133.8,11.618,1.076,1.141,22.43,0.0,18.0,40.43,5,OPEN,True,71.8524,2,False
DE000081,T0004,S005,CHARGING,train,20,8,True,True,8379.5,10.692,9542.2,13.571,3774.0,8.563,14147.7,15.7,1.076,1.141,26.989,0.0,18.0,44.989,3,OPEN,True,76.1589,3,False
DE000081,T0004,S004,CHARGING,train,20,8,True,True,9754.1,10.114,10821.9,11.897,3774.0,8.563,16802.0,13.448,1.076,1.141,24.457,0.0,18.0,42.457,3,OPEN,True,78.3727,4,False
DE000081,T0004,S013,CHARGING,train,20,8,True,True,9596.6,11.341,11160.3,15.669,3774.0,8.563,16982.9,18.447,1.076,1.141,30.081,0.0,18.0,48.081,5,OPEN,True,84.9086,5,False
DE000081,T0004,S017,CHARGING,train,20,8,True,True,12546.1,14.814,14004.7,16.014,3774.0,8.563,22776.8,22.266,1.076,1.141,34.212,0.0,18.0,52.212,6,OPEN,True,101.2326,6,False
DE000081,T0004,S008,CHARGING,train,20,8,True,True,14645.9,15.68,14629.2,17.402,3774.0,8.563,25501.1,24.519,1.076,1.141,36.727,0.0,18.0,54.727,1,OPEN,True,111.5093,7,False
